STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,GEOID,NAME_x,NAMELSAD,STUSPS,STATE_NAME,LSAD,ALAND,AWATER,county_fips,B01003_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_008E,B03003_003E,NAME_y,pct_white,pct_black,pct_aian,pct_asian,pct_nhpi,pct_two_or_more,pct_hispanic
17,127,01784730,0500000US17127,17127,Massac,Massac County,IL,Illinois,06,614218330,12784614,17127,13865,11970,934,17,39,0,859,397,"Massac County, Illinois",86.332491886044,6.7363865849260725,0.12261089073205914,0.281283808150018,0.0,6.195456184637576,2.8633249188604397
27,017,00659454,0500000US27017,27017,Carlton,Carlton County,MN,Minnesota,06,2230473967,36173451,27017,36518,31966,789,1220,196,13,2128,711,"Carlton County, Minnesota",87.53491428884385,2.1605783449257903,3.3408182266279645,0.5367216167369516,0.035598882742757,5.82726326742976,1.9469850484692481
37,181,01008591,0500000US37181,37181,Vance,Vance County,NC,North Carolina,06,653701481,42190675,37181,42322,16070,20032,509,288,0,2978,4006,"Vance County, North Carolina",37.97079533103351,47.33235669391806,1.202684183167147,0.6804971409668731,0.0,7.036529464581069,9.4655262038656
47,079,01639755,0500000US47079,47079,Henry,Henry County,TN,Tennessee,06,1455320362,81582236,47079,32412,28116,2141,129,180,17,1683,977,"Henry County, Tennessee",86.74564975934838,6.605578180920648,0.39800074046649386,0.5553498704183636,0.05244970998395656,5.192521288411699,3.014315685548562
06,021,00277275,0500000US06021,06021,Glenn,Glenn County,CA,California,06,3403160299,33693344,06021,28494,15749,62,434,856,0,4979,12820,"Glenn County, California",55.27128518284551,0.21758966800028076,1.5231276760019654,3.0041412227135535,0.0,17.473854144732222,44.991928125219346
17,093,00424248,0500000US17093,17093,Kendall,Kendall County,IL,Illinois,06,829412771,5136525,17093,137675,89865,10573,929,4997,0,24391,30872,"Kendall County, Illinois",65.27328854185582,7.679680406755039,0.6747775558380243,3.629562375158889,0.0,17.71636099509715,22.423824223715272
19,095,00465236,0500000US19095,19095,Iowa,Iowa County,IA,Iowa,06,1518911690,2686847,19095,16507,15533,54,15,40,0,672,564,"Iowa County, Iowa",94.09947295086933,0.3271339431756225,0.09087053977100623,0.24232143938934997,0.0,4.07100018174108,3.416732295389835
22,003,00558397,0500000US22003,22003,Allen,Allen Parish,LA,Louisiana,15,1973788820,10457653,22003,22477,15437,4756,255,163,0,1717,1353,"Allen Parish, Louisiana",68.67909418516706,21.15940739422521,1.1344930373270454,0.7251857454286604,0.0,7.638919784668772,6.019486586288206
18,055,00451676,0500000US18055,18055,Greene,Greene County,IN,Indiana,06,1404983953,8919619,18055,31021,29734,147,26,75,0,746,649,"Greene County, Indiana",95.85119757583573,0.47387253795815737,0.08381419038715708,0.24177170303987622,0.0,2.404822539569969,2.092131136971729
33,001,00873174,0500000US33001,33001,Belknap,Belknap County,NH,New Hampshire,06,1040779612,176541258,33001,64659,60232,342,20,744,18,2482,1467,"Belknap County, New Hampshire",93.15331199059682,0.5289286874217046,0.030931502188403782,1.1506518814086206,0.027838351969563403,3.838599421580909,2.2688256855194173
46,065,01265774,0500000US46065,46065,Hughes,Hughes County,SD,South Dakota,06,1920546198,153323261,46065,17664,14252,9,1941,116,0,1149,580,"Hughes County, South Dakota",80.6838768115942,0.050951086956521736,10.988451086956522,0.6567028985507246,0.0,6.504755434782608,3.283514492753623
